id,Name,Aerial Duels won,Age,Assists,Attacking options created,Attempted Passes,Blocks,Clearances,Country_val,Expected Goal Contributions,Interceptions,Open Play Goals,Open Play Expected Goals,Percentage of Passes Completed,Progressive Passes Rec,Progressive Passes,Progressive Carries,Shots,Successful Dribbles,Touches in attacking penalty area,Tackles,Value at beginning of 2020/21 season,Value at beginning of 2021/22 season,Value at beginning of 2022/23 season,Value at beginning of 2023/24 season
402,Dylan Bronn,1.8,28,0,0.79,53.9,1.71,3.1,50,0.02,1.1,0,0.05,84.9,0.27,3.74,0.53,0.43,0.32,0.53,1.82,4.5,5.5,4,2.5
954,Lois Diony,3.4,30,0,2.06,25.3,0.36,0.18,2,0.05,0,0.18,0.44,76.8,11.38,1.96,2.49,2.13,0.53,5.34,0.18,2.2,1.5,0.8,0.9
1594,Timothy Weah,0.7,23,0.1,2.38,51.6,0.88,0.93,50,0.09,1.2,0,0.15,82.2,8.7,4.07,3.55,1.54,1.03,1.96,1.24,7.5,15,13,14
659,Issa Kabore,0.2,22,0,2.98,48.8,0.95,1.66,50,0.08,1,0.08,0.08,77.7,11.2,4.57,3.47,0.71,1.81,3.16,2.92,4,3,4,7
1372,Rayan Ait Nouri,1.2,22,0,2.02,48.4,0.25,2.34,50,0.09,0.8,0.08,0.07,81.3,6.36,3.6,2.51,0.84,2.34,2.34,2.76,20,15,20,22
463,Ezequiel Ponce,2.8,26,0,2.03,23.3,0.48,1.04,1,0.05,0.1,0.32,0.33,74.5,4.01,1.52,0.8,2.33,0.4,3.77,0.72,7,7,5,2.5
1349,Quentin Merlin,0.7,21,0.08,3.16,59.2,1.21,1.51,2,0.19,1.3,0.04,0.05,73.3,4.31,4.94,1.97,0.71,1,0.75,1.55,,1.5,3,7
186,Bartosz Bereszynski,1.3,31,0.07,0.69,49.4,1.45,1.85,23,0.02,1.6,0,0.01,74.5,3.1,3.37,1.85,0.2,0.33,0.92,2.05,6,5,4,1.6
1147,Mikel Vesga,2.3,30,0.1,1.98,52.8,1.36,1.36,10,0.05,1.3,0.04,0.06,83.4,1.08,6.96,0.91,0.87,0.35,1.12,1.99,2,2,3,6
1224,Nicolas Dominguez,1.5,25,0.08,2.92,55.6,1.13,1.13,1,0.12,0.8,0.12,0.11,82.3,3.29,5.75,1.53,1.64,0.9,1.45,3.09,10,13,13,17
608,Helibelton Palacios,1,30,0,1.04,39.2,1.22,2.58,50,0.03,1,0,0.02,74.6,1.17,2.4,1.17,0.19,0.66,0.42,1.79,1.2,1.2,1.2,1.2
143,Antonin Barak,0.9,28,0,2.28,36.2,0.79,0.64,50,0.09,0.2,0.1,0.15,82,4.64,4.14,2.22,1.58,0.99,3.31,1.04,9,16,20,10
751,Joe Rodon,2.6,25,0,0.25,61.9,1.11,3.57,50,0,0.7,0.05,0.06,89.1,0.05,3.09,0.39,0.39,0.14,0.67,0.72,10,8,8,7
981,Lucas Torro,3.1,29,0,0.91,42.4,0.87,2.33,10,0.01,1.6,0.04,0.06,80.6,0.62,3.56,0.44,1.02,0.4,1.16,1.74,2,4,5,8
197,Benno Schmitz,1.1,28,0,2.03,55.8,1.26,2.12,14,0.1,1,0.04,0.01,62.6,4.69,5.54,1.79,0.37,0.11,0.82,2.38,1,2.5,3,3
883,Kike Perez,1.2,26,0.08,3.15,47.7,1.01,1.09,10,0.1,0.8,0.04,0.1,75.8,3.2,5.23,2.11,1.79,1.17,1.76,2.61,0.6,1,1.5,4.5
279,Christoph Baumgartner,2.5,24,0.11,3.28,32.1,2,0.67,50,0.16,0.5,0.25,0.28,66.7,5.08,3.51,2.66,2.31,1.89,4.14,1.26,18,22,22,24
293,Conor Coady,1.1,30,0.04,0.77,51.9,0.9,3.78,5,0.01,0.6,0.04,0.03,84.8,0.04,1.85,0.17,0.17,0,0.43,0.6,25,25,25,12
1549,Sven Botman,2.2,23,0,0.72,50.8,1.27,3.63,50,0.03,1,0,0.08,86.5,0.14,2.5,0.23,0.63,0.03,1.53,1.09,10,30,30,45
400,Dwight McNeil,0.5,23,0.11,4.08,35.6,1.66,1.48,5,0.24,1.2,0.25,0.15,66.5,4.61,2.49,2.74,1.66,1.95,2.2,2.31,25,22,18,20
122,Angelo Fulgini,0.5,26,0.13,4.31,48.1,1.04,0.59,2,0.25,0.9,0.07,0.14,76.9,7.35,4.69,1.5,1.3,1.37,2.15,1.3,7,12,12,9
1207,Nehuen Perez,1.1,23,0,0.93,57.7,1.69,3.39,1,0.02,1.2,0.06,0.03,85.1,0.83,3.23,0.73,0.51,0.16,0.67,2.46,1.2,1.5,3,10
202,Beto,3,41,0.04,2.17,12.6,0.76,1.27,9,0.12,0.3,0.38,0.48,63.5,5.12,0.55,1.06,2.54,1.35,5.5,0.68,0.3,10,10,25
1462,Samu Castillejo,0.5,28,0,4.37,41.1,1.39,0.13,10,0.22,0.6,0.26,0.21,76.2,7.6,5.02,3.57,2.44,1.52,3.24,1.39,13,5.5,4.5,6
835,Junior Sambia,1.9,26,0.13,2.98,51.1,1.16,2.07,2,0.23,1.1,0,0.09,78.8,4.91,3.49,2.97,1.68,1.29,1.68,1.55,2.8,5.5,4.5,3.5
246,Carmona,0.7,21,0.06,1.75,46.8,1.78,2.07,10,0.05,1.1,0.17,0.11,80.5,3.16,2.07,1.26,0.75,0.92,1.55,2.01,,,0.025,4
1439,Ruben Aguilar,0.8,30,0,1.46,64.9,1.11,1.94,2,0.09,1.4,0,0.02,82.6,5.9,7.85,2.5,0.35,0.49,1.74,1.39,8,10,10,7
